fecha,isr_neto,iva_neto,ieps_neto,anio,mes
1990-01-01,51771.20688604199,27796.269999155607,13820.038687458551,1990,1
1990-02-01,29870.51963582798,23330.776185703704,11529.974443581708,1990,2
1990-03-01,26580.405079859724,25602.222054668266,10212.413048371101,1990,3
1990-04-01,37972.64055396413,25552.254053459408,10814.295753064682,1990,4
1990-05-01,28565.45769031937,25458.686233376215,9899.22586200687,1990,5
1990-06-01,30040.94353363808,25322.913261790167,11735.415530383212,1990,6
1990-07-01,31443.925568023224,27002.990459557088,11429.540133451941,1990,7
1990-08-01,35266.31022396356,27137.360705404422,11036.828262367282,1990,8
1990-09-01,28483.477146203626,26875.593968118505,11164.94860327941,1990,9
1990-10-01,28218.06841700793,28439.054001094944,10458.709585749257,1990,10
1990-11-01,29734.0001814088,28195.737715288597,11325.42369140775,1990,11
1990-12-01,38104.37275482249,27471.09100771271,10914.964259173714,1990,12
1991-01-01,50907.1322319805,29425.36687712805,11306.897399685495,1991,1
1991-02-01,30172.641845492955,26209.00124671311,8589.481651977461,1991,2
1991-03-01,28831.220667904574,28684.97518424069,10277.983126218309,1991,3
1991-04-01,39473.13909618194,25828.4116726121,10096.272127401655,1991,4
1991-05-01,32555.11520147722,23941.585117886036,11313.246140227136,1991,5
1991-06-01,32957.52062218447,26496.094372996464,9947.602483707627,1991,6
1991-07-01,31525.653301927094,29040.71362403144,10461.464617160462,1991,7
1991-08-01,45472.376244957144,30161.13456969499,10493.75840865048,1991,8
1991-09-01,29454.375125283816,28273.835288111848,10216.679926515055,1991,9
1991-10-01,29610.466111782545,26326.882543431595,9982.053926306782,1991,10
1991-11-01,30431.364535017594,23804.88731192531,10739.092796672703,1991,11
1991-12-01,38931.860870003075,20100.17954523568,12062.397259259764,1991,12
1992-01-01,59734.86110589582,20418.70647196682,15511.164375801576,1992,1
1992-02-01,30307.95339460095,19877.29081164359,11019.720725480396,1992,2
1992-03-01,39481.09501456155,19954.56090762975,12210.639006545369,1992,3
1992-04-01,49057.935521997264,23173.88415822337,12055.497298552838,1992,4
1992-05-01,37177.43482140676,22189.085420218133,12853.092221304109,1992,5
1992-06-01,39263.969940441995,20587.582880949227,12208.844649831695,1992,6
1992-07-01,37624.181889060346,23785.121524268718,13109.491589244695,1992,7
1992-08-01,46282.542969170405,20006.785738676757,13087.221105529326,1992,8
1992-09-01,32579.506976873563,19262.31806457274,12189.091939676196,1992,9
1992-10-01,37873.4002111158,23656.73256443154,13133.796965755784,1992,10
1992-11-01,35116.57312922241,22067.296076688,13227.463234648561,1992,11
1992-12-01,45768.25722942889,22129.869476301654,13082.055916419908,1992,12
1993-01-01,55650.75895801013,23691.029749919613,14226.238122556379,1993,1
1993-02-01,35167.247290611165,20400.88756757189,10589.7181960009,1993,2
1993-03-01,46604.11201444175,21935.96380045503,12123.332505432529,1993,3
1993-04-01,54038.52031015756,25490.48648890891,10112.225199708599,1993,4
1993-05-01,42445.197930624505,21368.011847932295,12107.911528298657,1993,5
1993-06-01,42361.23975378918,19081.42403088313,11622.808732635673,1993,6
1993-07-01,46419.892741677955,24119.94459904981,12531.85053688439,1993,7
1993-08-01,44551.12538280539,18978.435683860826,11470.625801518878,1993,8
1993-09-01,36443.4254351532,17138.964475203957,11217.211132815755,1993,9
1993-10-01,43213.566819095955,21819.000036311518,10577.424002419357,1993,10
1993-11-01,36642.331544533954,19144.52433008626,18725.64634945437,1993,11
1993-12-01,49779.78710776348,22043.170503501027,13258.045732239898,1993,12
1994-01-01,62566.95095168044,27661.84077280318,16618.872031967563,1994,1
1994-02-01,33924.34318285385,23421.092516383043,15589.508177655389,1994,2
1994-03-01,38067.20791833157,23005.484182100194,17159.46909509603,1994,3
1994-04-01,53749.76423209488,25387.166469287997,17877.20775514998,1994,4
1994-05-01,42321.1648697787,20253.028485375355,16868.496509652603,1994,5
1994-06-01,42969.08372194584,20170.237596008017,16411.471827248515,1994,6
1994-07-01,44992.309332384866,25448.22676165806,17339.897977017652,1994,7
1994-08-01,46804.49239743251,22695.069277012037,15737.942584617693,1994,8
1994-09-01,36086.88980699926,19366.52190937984,16110.0115841173,1994,9
1994-10-01,41086.76515990679,25763.520912298845,16056.96172749617,1994,10
1994-11-01,34530.56010606304,23198.022889302898,16994.587235780455,1994,11
1994-12-01,48072.53545545757,21163.329430640202,18312.624962607562,1994,12
1995-01-01,56357.12113987623,23936.764600323288,17304.58687252538,1995,1
1995-02-01,32292.86737962334,18034.565936011597,13111.45168290328,1995,2
1995-03-01,31951.501255277897,19590.681422904887,9697.168359241996,1995,3
1995-04-01,43703.627021567336,24450.023884760594,6136.6326471737575,1995,4
1995-05-01,33456.346676037676,25379.800000209496,9612.6323861557,1995,5
1995-06-01,31851.87306822651,23750.38712898109,9028.923936553072,1995,6
1995-07-01,31852.220346975802,27558.798129901523,10236.844744640728,1995,7
1995-08-01,32851.68526186375,20043.027247241367,10826.188117682834,1995,8
1995-09-01,23826.445406853425,20567.306097473025,11902.854634936168,1995,9
1995-10-01,26547.09527881438,26866.133265135086,11580.751349040938,1995,10
1995-11-01,23793.12720813218,24467.033320168626,11226.240184504277,1995,11
1995-12-01,32276.321354910768,20460.194565387897,12033.941982394086,1995,12
1996-01-01,36785.56245796474,29893.723092543507,14121.330695222361,1996,1
1996-02-01,21758.34607015352,22461.1219351605,8418.49706479718,1996,2
1996-03-01,29954.462544621543,19418.630516478814,9822.43087629206,1996,3
1996-04-01,39804.883203472054,25213.210729381288,9193.67245913328,1996,4
1996-05-01,26890.015090644574,23401.02826327105,8595.017119189317,1996,5
1996-06-01,27334.541840674683,17131.426358358174,8259.695409696897,1996,6
1996-07-01,29300.22098534177,27379.118118173632,8827.24173313004,1996,7
1996-08-01,43886.87200628418,21323.988407241915,11447.715298429712,1996,8
1996-09-01,23507.155820810392,22718.260607282937,9609.212505277423,1996,9
1996-10-01,29257.56276891048,29389.377811790193,10168.379391773435,1996,10
1996-11-01,31017.08185439544,27189.426667059037,9812.573226700686,1996,11
1996-12-01,44636.58669927404,20674.509064716724,9777.020938758704,1996,12
1997-01-01,44392.21204727907,33373.28475264626,11259.544124922231,1997,1
1997-02-01,29992.526661780965,25252.93493183181,7916.8586585891135,1997,2
1997-03-01,37009.706758524706,21435.483266310315,9689.648401295419,1997,3
1997-04-01,45029.62807999029,30280.000468069913,10155.835775327605,1997,4
1997-05-01,29315.875069321133,22374.687874362353,11887.142189355196,1997,5
1997-06-01,32164.969295349478,20571.272156644955,13095.860354262839,1997,6
1997-07-01,35276.32412984739,28751.826504957524,13212.135131585133,1997,7
1997-08-01,37318.505120764334,22734.43439000567,14441.117505181506,1997,8
1997-09-01,29920.69598318608,23922.667315194805,13564.765666465124,1997,9
1997-10-01,34766.07398572252,33316.075689984464,13343.637599205309,1997,10
1997-11-01,36184.361288861415,27651.526929677253,14919.19828609233,1997,11
1997-12-01,52506.20091341277,31510.01404324756,14899.202783585633,1997,12
1998-01-01,58450.084588685226,36078.74740509292,19428.847122706135,1998,1
1998-02-01,30861.04944278086,24514.35716913348,14275.765560389658,1998,2
1998-03-01,40327.98764761269,23520.008429690013,17003.30040724806,1998,3
1998-04-01,46359.26866785829,37972.04357112509,15538.80878457214,1998,4
1998-05-01,30283.689411572585,25840.558424814397,18875.990111599313,1998,5
1998-06-01,36351.48299227934,22072.42060956722,17918.808038763764,1998,6
1998-07-01,38785.105849249434,32002.599215320122,18828.30148671545,1998,7
1998-08-01,39428.136187051445,26527.731154259065,18941.739568649817,1998,8
