fecha,ingresos_sector_publico_neto_(mdp),ieps_neto_(mdp),ieps_sin_gas_neto_(mdp),ingresos_gobierno_federal_neto_(mdp),ingresos_tributarios_neto_(mdp),isr_neto_(mdp),iva_neto_(mdp),importaciones_neto_(mdp),ingresos_no_tributarios_neto_(mdp),ieps_hidrocarburos_neto_(mdp),ieps_otros_petroliferos_neto_(mdp),ieps_gasolina_neto_(mdp),ieps_tabaco_neto_(mdp),ieps_ba_neto_(mdp),ieps_cerveza_neto_(mdp),ieps_telecom_neto_(mdp),ieps_otras_retenciones_neto_(mdp),exportaciones_neto_(mdp),isan_neto_(mdp),accesorios_contribuciones_neto_(mdp),otros_ingresos_tributarios_neto_(mdp),ietu_neto_(mdp),ide_neto_(mdp),ieps_jys_neto_(mdp),ieps_be_neto_(mdp),ieps_bsaborizadas_neto_(mdp),ieps_aadc_neto_(mdp),ieps_plaguicidas_neto_(mdp),ieps_combustibles_fosiles_neto_(mdp),impuesto_extraccion_hidrocarburos_neto_(mdp)
1990-01-01,15527.708,1040.445,543.085,10861.811,7603.734,3897.608,2092.649,409.378,3258.077,,,497.36,125.217,130.813,79.989,0.0,0.0,9.192,47.983,96.193,90.255,,,,,,,,,
1990-02-01,12748.535,887.693,532.433,8522.032,5555.963,2299.732,1796.237,375.949,2966.069,,,355.26,109.938,68.902,73.63,0.0,0.0,8.747,47.184,65.951,72.491,,,,,,,,,
1990-03-01,14284.656,800.115,391.662,8296.806,5649.119,2082.503,2005.865,487.86,2647.687,,,408.453,102.083,25.399,58.204,0.0,0.0,9.417,31.629,79.811,53.802,,,,,,,,,
1990-04-01,14074.744,860.166,470.121,9702.308,6585.684,3020.333,2032.419,467.28,3116.624,,,390.045,71.879,52.911,62.522,0.0,0.0,8.587,43.125,97.754,61.719,,,,,,,,,
1990-05-01,14048.018,801.122,407.435,8834.236,5789.959,2311.738,2060.314,465.461,3044.277,,,393.687,97.393,50.183,93.325,0.0,0.0,5.35,35.336,145.63,72.033,,,,,,,,,
1990-06-01,14693.689,970.638,553.206,9404.879,6195.179,2484.691,2094.462,487.027,3209.7,,,417.432,97.159,100.062,85.506,0.0,0.0,3.895,47.08,132.056,77.575,,,,,,,,,
1990-07-01,14933.319,962.579,525.894,9352.888,6570.232,2648.161,2274.152,543.429,2782.656,,,436.685,60.238,78.337,103.994,0.0,0.0,3.569,47.667,122.513,66.984,,,,,,,,,
1990-08-01,15670.661,945.343,515.87,9737.233,7022.997,3020.683,2324.41,573.854,2714.236,,,429.473,59.73,77.691,99.544,0.0,0.0,1.734,58.322,126.081,70.924,,,,,,,,,
1990-09-01,15323.983,969.949,534.634,9783.194,6465.816,2474.487,2334.803,546.605,3317.378,,,435.315,101.726,88.416,88.325,0.0,0.0,1.664,50.375,104.024,70.852,,,,,,,,,
1990-10-01,17291.259,921.657,498.343,10367.32,6714.534,2486.672,2506.146,671.522,3652.786,,,423.314,103.654,97.425,65.114,0.0,0.0,3.308,41.76,104.486,73.43,,,,,,,,,
1990-11-01,17436.401,1024.533,567.824,10694.972,7099.038,2689.83,2550.674,676.0,3595.934,,,456.709,124.655,126.028,86.044,0.0,0.0,9.938,40.373,99.878,90.105,,,,,,,,,
1990-12-01,21668.62,1018.522,498.863,13107.627,8065.015,3555.682,2563.445,676.88,5042.612,,,519.659,101.392,96.97,77.411,0.0,0.0,33.014,67.033,53.7,144.046,,,,,,,,,
1991-01-01,27641.417,1081.988,351.778,21461.211,9664.952,4871.443,2815.794,701.055,11796.259,,,730.21,135.197,115.803,98.61,0.0,0.0,5.064,93.478,265.497,72.977,,,,,,,,,
1991-02-01,15988.277,836.3,331.381,10962.196,7318.956,2937.707,2551.794,717.999,3643.24,,,504.919,125.685,30.188,77.42,0.0,0.0,4.711,72.78,97.141,72.138,,,,,,,,,
1991-03-01,16289.567,1014.969,461.21,11117.532,7982.509,2847.134,2832.692,804.346,3135.023,,,553.759,124.833,156.915,84.234,0.0,0.0,4.386,72.485,122.074,91.431,,,,,,,,,
1991-04-01,18295.285,1007.469,488.61,12010.221,8761.451,3938.876,2577.32,818.525,3248.77,,,518.859,142.655,125.249,113.979,0.0,0.0,5.855,64.022,169.783,94.322,,,,,,,,,
1991-05-01,23908.086,1139.942,594.892,17644.299,7970.767,3280.309,2412.395,825.468,9673.532,,,545.05,191.738,139.562,152.515,0.0,0.0,6.259,78.102,133.867,123.921,,,,,,,,,
