pib,fecha
7547882.144,1980/01
7536518.992,1980/02
7478780.82,1980/03
8008666.64,1980/04
8229212.702,1981/01
8417818.004,1981/02
8211045.527,1981/03
8614524.865,1981/04
8512096.4,1982/01
8481760.759,1982/02
8198953.899,1982/03
8277251.689,1982/04
8120479.85,1983/01
7997531.117,1983/02
7764430.844,1983/03
8127328.588,1983/04
8384896.23,1984/01
8232124.573,1984/02
8119301.524,1984/03
8389536.374,1984/04
8539105.041,1985/01
8487030.468,1985/02
8193121.959,1985/03
8528896.049,1985/04
8208491.352,1986/01
8409218.652,1986/02
7769449.783,1986/03
8109501.791,1986/04
8119219.038,1987/01
8443175.116,1987/02
8038083.561,1987/03
8568977.287,1987/04
8378163.162,1988/01
8546889.028,1988/02
8031742.408,1988/03
8636950.844,1988/04
8575114.059,1989/01
8912465.891,1989/02
8452556.703,1989/03
8881444.762,1989/04
8964419.624,1990/01
9262515.905,1990/02
8885511.844,1990/03
9522792.509,1990/04
9268190.329,1991/01
9775235.335,1991/02
9176389.016,1991/03
9894608.989,1991/04
9701986.33,1992/01
9986417.75,1992/02
9607923.069,1992/03
10155182.257,1992/04
10008894.656,1993/01
10171035.401,1993/02
10066258.408,1993/03
10416096.243,1993/04
10343388.473,1994/01
10772526.22,1994/02
10602752.891,1994/03
10952773.417,1994/04
10189745.494,1995/01
9795719.008,1995/02
9802904.373,1995/03
10198513.276,1995/04
10426430.9,1996/01
10569227.494,1996/02
10583112.094,1996/03
11116526.636,1996/04
10862931.984,1997/01
11460068.088,1997/02
11408200.857,1997/03
11887380.119,1997/04
11827638.049,1998/01
12034464.22,1998/02
11972371.592,1998/03
12139816.574,1998/04
12100154.542,1999/01
12315219.067,1999/02
12325229.128,1999/03
12554685.811,1999/04
12725022.041,2000/01
12994568.9,2000/02
13008792.255,2000/03
13003302.172,2000/04
12796119.512,2001/01
12967530.187,2001/02
12857408.641,2001/03
12901429.2,2001/04
12415541.463,2002/01
13112362.78,2002/02
12889950.082,2002/03
13084104.346,2002/04
12803326.703,2003/01
13182931.646,2003/02
12954912.312,2003/03
13305703.424,2003/04
13252637.277,2004/01
13732337.644,2004/02
13438257.152,2004/03
13872028.156,2004/04
13354792.355,2005/01
14104834.677,2005/02
13782142.603,2005/03
14306520.445,2005/04
14107961.111,2006/01
14700503.812,2006/02
14435867.217,2006/03
14800896.848,2006/04
14393731.49,2007/01
14993341.602,2007/02
14783297.426,2007/03
15204933.383,2007/04
14563429.178,2008/01
15386331.839,2008/02
14979493.158,2008/03
15125056.549,2008/04
13752157.579,2009/01
14012946.525,2009/02
14231940.409,2009/03
14882949.002,2009/04
14371711.888,2010/01
14998392.976,2010/02
14921449.864,2010/03
15499624.057,2010/04
14902787.36,2011/01
15413083.519,2011/02
15526005.668,2011/03
16139457.857,2011/04
15619683.005,2012/01
16027310.993,2012/02
15952745.024,2012/03
16639155.581,2012/04
15720296.176,2013/01
16362730.735,2013/02
16186048.347,2013/03
16839673.054,2013/04
16135493.722,2014/01
16736871.331,2014/02
16645054.657,2014/03
17417199.358,2014/04
16697500.516,2015/01
17239817.316,2015/02
17309642.631,2015/03
17888463.257,2015/04
17196650.777,2016/01
17807935.054,2016/02
17666733.401,2016/03
18476323.115,2016/04
17794478.546,2017/01
18154260.448,2017/02
17944580.553,2017/03
18760639.845,2017/04
18011618.389,2018/01
18623258.902,2018/02
18391132.513,2018/03
19077512.607,2018/04
18236100.279,2019/01
