,endog_vars,exog_vars,ieps_sin_gas_neto_(mdp)_r,importaciones_neto_(mdp)_r,ing_trib_sin_gasol_neto_(mdp)_r,isr_neto_(mdp)_r,iva_neto_(mdp)_r,model,params,split_date
0,"['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 30190.55213568645, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 58551.16845974415}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 1437.5945330158138, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1060.677729002724}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -174857.78815327864, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -2762973.5885210186}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -96369.0041476565, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -321001.1613215199}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -46140.82292262826, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -572649.8675045607}",GB,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 1234, 'subsample': 0.1}",2015-07-01
1,"['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 39705.03864003542, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 89840.72497859225}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 1371.4057175684138, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 6852.60485493052}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -41892.93946899893, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 650082.5376660172}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -25370.33322888869, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 486744.9315045541}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -36519.669167920016, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -201095.0054063279}",GB,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 1234, 'subsample': 0.5}",2015-07-01
2,"['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 39711.89526731137, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 67664.37271022738}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 5167.971638912219, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 27274.1931827839}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 28402.32532325806, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 2764.4327655355446}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 26567.72983067599, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 33868.63726764405}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -12690.87125896709, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -117576.82606921776}",GB,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 1234, 'subsample': 1.0}",2015-07-01
3,"['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 47813.10259860195, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 153877.64042086666}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -49880.89561667896, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -801377.6164158749}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -1109864.2660963228, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -1314782.571302346}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -2605981.861412066, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -249389876.49200848}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -241751.6633626381, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 763580.7398916486}",GB,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 1000, 'random_state': 1234, 'subsample': 0.1}",2015-07-01
4,"['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 44139.0737106412, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 106998.50686918547}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 3024.0370588352307, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 28609.044505059133}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 83594.98311598878, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1420421.1158638268}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -12133.230560820084, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 636955.0621862393}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -57622.003425395465, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 127751.58906235697}",GB,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 1000, 'random_state': 1234, 'subsample': 0.5}",2015-07-01
5,"['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 38405.36560602422, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 68028.43717872916}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 3698.050357440283, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 28938.847546020803}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 59529.29006862175, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 262181.16858853446}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 62779.593937923666, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 181719.7320124954}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -23877.86635255674, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -14748.013858479098}",GB,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 1000, 'random_state': 1234, 'subsample': 1.0}",2015-07-01
6,"['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 48101.620393305755, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 121588.52687065504}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 7959.498290353389, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 36191.61669354338}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 229213.55282361014, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1455039.886852921}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 82609.67687916476, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 941882.0292432891}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 96328.75324240571, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 470405.6010326589}",GB,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100, 'random_state': 1234, 'subsample': 0.1}",2015-07-01
7,"['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 33363.185140969, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 51206.72876446626}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -1268.316464148149, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 6718.8629073156335}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -41106.11937015131, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 402947.98747361125}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -117634.99520288385, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -39118.369068981614}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 7272.196379572153, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 318286.8323992522}",GB,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100, 'random_state': 1234, 'subsample': 0.5}",2015-07-01
8,"['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 39219.60309845237, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 73804.35381052493}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 1438.4649724576811, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -3600.655542270906}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 22762.999921446666, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 38181.27712913463}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 70942.40836954163, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 619545.7640413988}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 15944.494617359596, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 78840.5804393175}",GB,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100, 'random_state': 1234, 'subsample': 1.0}",2015-07-01
9,"['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -48669.50545587487, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 53140.70818144805}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -6864.7263638122095, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 57383.90878247579}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -589781.8831110336, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 2793825.0707057077}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -321964.5107456299, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 994714.8056309447}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 179459.85090236017, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 884433.6737767853}",GB,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 1000, 'random_state': 1234, 'subsample': 0.1}",2015-07-01
