,variable,model,params,endog_vars,exog_vars,mape_first6,mape_first18,mape_last12,rmse_first6,rmse_last12,rmse_first18
0,ieps_sin_gas_neto_(mdp)_r,ARIMA,"{'order': (4, 0, 5)}",['ieps_sin_gas_neto_(mdp)_r'],"['igae', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.1949577936527585,0.18352866412226831,0.17637375352377851,2692.96360665343,2562.0389962472113,2629.4417876636535
4,ieps_sin_gas_neto_(mdp)_r,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 3), 'seasonal_order': (1, 0, 1, 12)}",['ieps_sin_gas_neto_(mdp)_r'],"['igae', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.20203738486446643,0.193803727131108,0.1871406782651749,2961.282587544939,2867.466092015593,2940.4918471044207
5,ieps_sin_gas_neto_(mdp)_r,VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'c'}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']","['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.15985523919367223,0.2105132000569071,0.2427451932495227,2300.350093763124,3430.3382543051293,3077.767149618102
1,ieps_sin_gas_neto_(mdp)_r,DT,"{'criterion': 'mae', 'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5, 'random_state': 1234}",['ieps_sin_gas_neto_(mdp)_r'],all,0.34948005811091165,0.28857482158981307,0.24861987799028704,5221.34988660099,4307.335343426003,4820.511467207629
3,ieps_sin_gas_neto_(mdp)_r,RF,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 1, 'n_jobs': -1, 'random_state': 1234}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all,0.3796080832499908,0.32298653937683747,0.28628564486316793,5393.718990722591,4907.478282452561,5171.667723626918
2,ieps_sin_gas_neto_(mdp)_r,GB,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 50, 'random_state': 1234, 'subsample': 1.0}",['ieps_sin_gas_neto_(mdp)_r'],all,0.4241525307016548,0.3681026506152512,0.3342242200134008,5898.139192968878,5500.983933898368,5707.736425769497
10,importaciones_neto_(mdp)_r,GB,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 1, 'random_state': 1234, 'subsample': 0.5}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all,0.08488084883666977,0.10054327010049292,0.11027140147870439,554.7284232750917,642.6677491246816,618.3742088518919
11,importaciones_neto_(mdp)_r,RF,"{'criterion': 'mse', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 1234}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all,0.11532030711365637,0.11129102721684873,0.10536149586024315,714.4984568607372,643.5891900710402,712.5511684698738
13,importaciones_neto_(mdp)_r,VAR,"{'ic': 'bic', 'maxlags': 12, 'trend': 'c'}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']","['igae', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.09386263583987368,0.09925729079621999,0.10122341053026093,578.890466673003,646.7159509580692,664.2162734494716
12,importaciones_neto_(mdp)_r,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 3), 'seasonal_order': (1, 0, 1, 12)}",['importaciones_neto_(mdp)_r'],"['mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.0817524820549052,0.09699634702913172,0.1024667910933287,510.03066787112584,651.2854488055492,652.5320842585601
