,endog_vars,exog_vars,ieps_sin_gas_neto_(mdp)_r,importaciones_neto_(mdp)_r,ing_trib_sin_gasol_neto_(mdp)_r,isr_neto_(mdp)_r,iva_neto_(mdp)_r,model,params,split_date
0,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -167314.1384358483, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -392461.33846174786}",,ARIMA,"{'order': (2, 0, 2)}",2015-07-01
1,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -138243.20719401608, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -308212.2731649899}",,ARIMA,"{'order': (2, 0, 3)}",2015-07-01
2,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -148645.66182994493, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -319357.8728326189}",,ARIMA,"{'order': (2, 0, 4)}",2015-07-01
3,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -146963.0239139523, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -342281.0893343217}",,ARIMA,"{'order': (3, 0, 2)}",2015-07-01
4,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -161344.23616340803, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -382238.91441136296}",,ARIMA,"{'order': (3, 0, 3)}",2015-07-01
5,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -186244.03267297545, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -434491.8351511534}",,ARIMA,"{'order': (3, 0, 4)}",2015-07-01
6,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -144249.23678692966, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -334221.0461425511}",,ARIMA,"{'order': (4, 0, 2)}",2015-07-01
7,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -163155.78819019347, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -392611.4303964055}",,ARIMA,"{'order': (4, 0, 3)}",2015-07-01
8,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -175367.15004877583, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -419994.8696039971}",,ARIMA,"{'order': (4, 0, 4)}",2015-07-01
9,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -23118.23466144083, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -53458.28726412007}",,ARIMA,"{'order': (2, 0, 2)}",2016-07-01
10,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -35404.509093126515, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -94421.16837207251}",,ARIMA,"{'order': (2, 0, 3)}",2016-07-01
11,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -37451.82941817655, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -117256.1138280963}",,ARIMA,"{'order': (2, 0, 4)}",2016-07-01
12,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -20784.359193758806, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -50532.557330398355}",,ARIMA,"{'order': (3, 0, 2)}",2016-07-01
13,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -22462.533386487514, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -65313.25055593741}",,ARIMA,"{'order': (3, 0, 3)}",2016-07-01
14,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -49884.09936957294, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -79763.45040043234}",,ARIMA,"{'order': (3, 0, 4)}",2016-07-01
15,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -24990.980726374546, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -65352.61617941293}",,ARIMA,"{'order': (4, 0, 2)}",2016-07-01
16,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -23041.383384300396, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -52713.71206801734}",,ARIMA,"{'order': (4, 0, 3)}",2016-07-01
17,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -50652.00234203087, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -89738.76735346392}",,ARIMA,"{'order': (4, 0, 4)}",2016-07-01
18,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -108661.39821948856, Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): -189800.3225636899}",,ARIMA,"{'order': (2, 0, 2)}",2017-07-01
19,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -97309.56219110661, Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): -176988.9821407185}",,ARIMA,"{'order': (2, 0, 3)}",2017-07-01
20,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -92424.16564969695, Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): -151055.3752390449}",,ARIMA,"{'order': (2, 0, 4)}",2017-07-01
21,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -112786.954906116, Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): -198374.81800495414}",,ARIMA,"{'order': (3, 0, 2)}",2017-07-01
