,endog_vars,exog_vars,ing_trib_neto_(mdp)_r,model,params,split_date
0,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -178740.99609844666, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -380027.51840683306}",ARIMA,"{'order': (2, 0, 2)}",2015-07-01
1,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -164656.7544877231, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -349255.58825050946}",ARIMA,"{'order': (2, 0, 3)}",2015-07-01
2,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -77071.2461359445, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -113848.87148969248}",ARIMA,"{'order': (2, 0, 4)}",2015-07-01
3,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -121696.27197810542, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -236193.76694557304}",ARIMA,"{'order': (3, 0, 2)}",2015-07-01
4,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -110870.59823499201, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -201915.62008887902}",ARIMA,"{'order': (3, 0, 3)}",2015-07-01
5,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -114355.13740994502, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -210157.82446394116}",ARIMA,"{'order': (3, 0, 4)}",2015-07-01
6,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -105808.7059251829, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -176312.91408712696}",ARIMA,"{'order': (4, 0, 2)}",2015-07-01
7,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -114433.77177320467, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -211866.51577441953}",ARIMA,"{'order': (4, 0, 3)}",2015-07-01
8,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -107465.25316525577, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -192336.97911138553}",ARIMA,"{'order': (4, 0, 4)}",2015-07-01
9,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 55644.20383909345, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -115881.31342131551}",ARIMA,"{'order': (2, 0, 2)}",2016-07-01
10,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 58608.44065666245, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -108047.79078414105}",ARIMA,"{'order': (2, 0, 3)}",2016-07-01
11,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 43290.02378769824, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -146709.91987701692}",ARIMA,"{'order': (2, 0, 4)}",2016-07-01
12,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 55160.833375035785, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -132616.93352128658}",ARIMA,"{'order': (3, 0, 2)}",2016-07-01
13,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 50838.0752090062, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -187315.6394369593}",ARIMA,"{'order': (3, 0, 3)}",2016-07-01
14,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 51094.93714802712, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -113858.76520997426}",ARIMA,"{'order': (3, 0, 4)}",2016-07-01
15,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 38066.3515590881, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -167069.7225200818}",ARIMA,"{'order': (4, 0, 2)}",2016-07-01
16,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 33347.48556290055, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -226988.83277732693}",ARIMA,"{'order': (4, 0, 3)}",2016-07-01
17,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 51363.94034643518, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -110504.86651877873}",ARIMA,"{'order': (4, 0, 4)}",2016-07-01
18,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -143400.92308183946, Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): -306090.28986302996}",ARIMA,"{'order': (2, 0, 2)}",2017-07-01
19,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -125092.9613792575, Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): -292297.2247924083}",ARIMA,"{'order': (2, 0, 3)}",2017-07-01
20,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -134893.85565274023, Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): -296202.77094573434}",ARIMA,"{'order': (2, 0, 4)}",2017-07-01
21,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -134004.22279490903, Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): -301992.2907418981}",ARIMA,"{'order': (3, 0, 2)}",2017-07-01
22,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -115598.61998824636, Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): -285672.30158407753}",ARIMA,"{'order': (3, 0, 3)}",2017-07-01
23,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -140837.6007199199, Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): -311614.6120216069}",ARIMA,"{'order': (3, 0, 4)}",2017-07-01
24,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -128035.79327573115, Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): -292409.3869343363}",ARIMA,"{'order': (4, 0, 2)}",2017-07-01
