,endog_vars,exog_vars,igae_sa,importaciones_r,indic_mens_consumo,ing_trib_sin_gasol_neto_(mdp)_r,inpc,model,params,split_date,tasa_cetes_91_mensual,tc_mensual
0,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'ing_trib_sin_gasol_neto_(mdp)_r', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -7.193076017489375, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -33.62206264109204}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -290613.6262739906, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -889932.6813421398}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 16.444721033693213, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 50.3758713636289}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -83435.61488765385, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 55780.479639837984}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 2.2012941262827326, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 0.5931357425081387}",VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'c'}",2015-07-01,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -5.18003569278585, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -7.934462859703373}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 0.48557598850240424, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 17.320884841700263}"
1,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'ing_trib_sin_gasol_neto_(mdp)_r', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -4.866078688247626, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -24.6784275246398}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -500531.47579342313, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -1065320.7675641887}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 16.7921293871118, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 54.91854399208955}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -103139.86281682923, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 64755.91530805593}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 2.2556031142667052, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -5.198495142638421}",VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'ct'}",2015-07-01,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -4.281931533935335, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -5.043207253043548}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -3.3778442234188617, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1.45421385739985}"
2,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'ing_trib_sin_gasol_neto_(mdp)_r', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 1.2837372361555026, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 4.742619434730386}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 130292.85474124551, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 134214.26300467085}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 19.31789378315466, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 36.612267150170055}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 59317.573496873025, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 547434.8398572528}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 5.219573680300073, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 13.097552028783866}",VAR,"{'ic': 'bic', 'maxlags': 12, 'trend': 'c'}",2015-07-01,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 0.31920950954526717, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 15.477595720655465}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 5.205726951653588, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 27.696701848664844}"
3,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'ing_trib_sin_gasol_neto_(mdp)_r', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 1.2248702471088109, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -5.0106085012516814}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 130727.83833157178, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 189979.53805783205}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 19.411130860856247, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 50.864440412238764}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 58388.61889065942, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 422339.90467097843}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 5.245762155545549, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 18.05869428619667}",VAR,"{'ic': 'bic', 'maxlags': 12, 'trend': 'ct'}",2015-07-01,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 0.30036718468488743, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 12.505857737370192}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 5.216895294885603, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 29.740998572574796}"
4,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'ing_trib_sin_gasol_neto_(mdp)_r', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -5.269971422622348, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -16.299745552358218}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -147868.14341775794, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -567047.7770616878}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 17.914036574098645, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 65.1150512948227}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -96553.7289386564, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -4938.487007750664}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 2.9189990622219284, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 2.472413432528583}",VAR,"{'ic': 'fpe', 'maxlags': 12, 'trend': 'c'}",2015-07-01,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -3.528455897015135, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 0.08191587152023061}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 0.7201868457363787, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 6.617125306203263}"
5,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'ing_trib_sin_gasol_neto_(mdp)_r', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -3.5405196164006156, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -7.1937109742373195}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -344124.6751775062, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -673910.2740947325}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 15.656242355337326, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 70.09273810712307}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -129943.7745919493, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 16577.172065414954}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 2.7233672320098776, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -3.2833279461012808}",VAR,"{'ic': 'fpe', 'maxlags': 12, 'trend': 'ct'}",2015-07-01,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -2.7174924302421957, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 0.9640821408409295}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -2.236287181437234, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -8.087021036857521}"
6,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'ing_trib_sin_gasol_neto_(mdp)_r', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1.5585659467901678, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 4.86983758353108}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -1638.8772907722741, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -359628.5976513773}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 9.020976578610089, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 30.42223110042937}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 56049.55753258802, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 13548.44618751388}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1.262492253985556, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 28.151859297945975}",VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'c'}",2016-07-01,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 0.7786313112606535, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 21.754124793883676}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -2.2398821667835023, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -33.920871982540774}"
7,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'ing_trib_sin_gasol_neto_(mdp)_r', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 2.046186928195766, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 2.859666422777309}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -50321.141067556106, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -59560.28964338265}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 8.893540128169889, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 31.289918849565765}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 53642.960147257894, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 41924.785934770014}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1.0659764750243994, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 28.59920562493585}",VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'ct'}",2016-07-01,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1.1224580293786417, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 20.010989568944552}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -3.53178217052681, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -27.568651699324477}"
8,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'ing_trib_sin_gasol_neto_(mdp)_r', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1.3698814975255118, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 2.645185715669868}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 211533.56424633507, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -322910.2135167662}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 23.59024365710775, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 40.73319422672421}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 10152.01641994575, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 64968.59931189986}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1.7415074310752061, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 22.966038922862026}",VAR,"{'ic': 'bic', 'maxlags': 12, 'trend': 'c'}",2016-07-01,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 4.474845395061877, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 33.63086832127172}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1.4618311854166564, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -13.505232880989325}"
9,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'ing_trib_sin_gasol_neto_(mdp)_r', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -1.0798884653484038, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -15.919815561940823}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 210749.21786098927, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -417559.52079556324}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 28.273453640441403, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 72.03935753283395}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -43152.33020402817, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -237263.21190064447}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 3.4351550849473824, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 38.839690607635475}",VAR,"{'ic': 'bic', 'maxlags': 12, 'trend': 'ct'}",2016-07-01,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 2.930125473249845, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 21.75012089552456}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1.0215844755948353, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -16.997841470308344}"
