,endog_vars,exog_vars,ieps_sin_gas_neto_(mdp)_r,importaciones_neto_(mdp)_r,isr_neto_(mdp)_r,iva_neto_(mdp)_r,model,params,split_date
0,"['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']","['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 12210.208272977412, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 8659.285973638704}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -2964.9196073391795, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 2504.594919020339}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -57109.352860332, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 39747.303082095226}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -18922.42944728036, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -55350.256772301975}",VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'c'}",2015-07-01
1,"['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']","['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 10596.36915918949, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 48657.206456051324}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -2771.235400934762, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -2838.4491563698175}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -55907.35111063998, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 5458.945560917957}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -20281.66895817069, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -12969.525316682179}",VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'ct'}",2015-07-01
2,"['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']","['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 44280.352539479325, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 84785.7964625256}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -3732.9061642701636, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -4783.456200216795}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 9955.369929945795, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 99713.05644869176}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -21699.445224356838, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -66619.37775095494}",VAR,"{'ic': 'bic', 'maxlags': 12, 'trend': 'c'}",2015-07-01
3,"['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']","['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 44616.41964979247, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 94286.97068283254}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -3813.450652605541, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -7472.04438773197}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 8736.262808834901, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 50153.65342357382}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -20033.94265535206, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -4723.772778887884}",VAR,"{'ic': 'bic', 'maxlags': 12, 'trend': 'ct'}",2015-07-01
4,"['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']","['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 12210.208272977412, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 8659.285973638704}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -2964.9196073391795, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 2504.594919020339}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -57109.352860332, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 39747.303082095226}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -18922.42944728036, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -55350.256772301975}",VAR,"{'ic': 'fpe', 'maxlags': 12, 'trend': 'c'}",2015-07-01
5,"['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']","['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 10596.36915918949, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 48657.206456051324}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -2771.235400934762, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -2838.4491563698175}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -55907.35111063998, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 5458.945560917957}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -20281.66895817069, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -12969.525316682179}",VAR,"{'ic': 'fpe', 'maxlags': 12, 'trend': 'ct'}",2015-07-01
6,"['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']","['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -4560.0957728439535, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -14138.592887677049}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -312.89053448310733, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 1011.8130624294936}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 41119.36091922433, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -33070.85632007546}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 3374.916959401802, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -76672.72877047071}",VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'c'}",2016-07-01
7,"['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']","['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 12101.546033146296, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 56353.452132482606}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -2444.2746580498424, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -11447.410938253299}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 28727.909073092975, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -78120.41553566884}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 16217.70225630526, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -16796.20302150678}",VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'ct'}",2016-07-01
8,"['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']","['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 9163.80507065769, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 32701.36035424788}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -108.02329107798141, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -2020.2675054057909}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 5755.0701950434595, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -40190.2774545874}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 10747.004075754201, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -101440.39152062812}",VAR,"{'ic': 'bic', 'maxlags': 12, 'trend': 'c'}",2016-07-01
9,"['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']","['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 15224.677526057465, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 63355.438949218136}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -1041.6611649806655, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -7506.720410105401}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -7762.589451962151, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -138681.9980538548}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 24810.941402966273, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -10336.381775374757}",VAR,"{'ic': 'bic', 'maxlags': 12, 'trend': 'ct'}",2016-07-01
