,endog_vars,exog_vars,forecast_biass_first18,forecast_biass_first6,forecast_biass_last12,mae_first18,mae_first6,mae_last12,mape_first18,mape_first6,mape_last12,model,params,pred_period,rmse_first18,rmse_first6,rmse_last12,split_date,variable
0,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",-31098.63760542201,-27885.68973930803,-32705.111538479,34976.466082803316,27885.68973930803,38521.85425455095,0.28231275157441676,0.24850689201359485,0.2992156813548276,ARIMA,"{'order': (2, 0, 2)}",18MS,37152.49931476597,30827.206096345948,39941.25674221123,2015-07-01,isr_neto_(mdp)_r
1,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",-24803.082242166995,-23040.534532336005,-25684.356097082487,27971.838447075315,23040.534532336005,30437.490404444976,0.22397190862307964,0.20308337734043466,0.23441617426440217,ARIMA,"{'order': (2, 0, 3)}",18MS,30058.10282364552,27148.12413259556,31412.16318682719,2015-07-01,isr_neto_(mdp)_r
2,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",-26000.196370142407,-24774.27697165746,-26613.156069384873,30577.380669963728,25311.895848478354,33210.12308070641,0.25419086222692866,0.23794706539719415,0.26231276064179593,ARIMA,"{'order': (2, 0, 4)}",18MS,35983.517960680336,31747.455080519816,37924.5289383414,2015-07-01,isr_neto_(mdp)_r
3,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",-27180.228513793012,-24493.83731899205,-28523.424111193497,31556.52656482959,24493.83731899205,35087.87118774836,0.2530884016295414,0.21765170493147282,0.2708067499785756,ARIMA,"{'order': (3, 0, 2)}",18MS,33844.03454053351,27661.45908926734,36545.17548866926,2015-07-01,isr_neto_(mdp)_r
4,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",-30199.063920820598,-26890.70602723463,-31853.242867613564,33076.392474239874,26890.70602723463,36169.23569774248,0.2667438362616651,0.23746351316350137,0.281383997810747,ARIMA,"{'order': (3, 0, 3)}",18MS,35474.600465475894,31572.64970599911,37272.70868274603,2015-07-01,isr_neto_(mdp)_r
5,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",-34485.32599022935,-31040.672112162556,-36207.652929262746,36963.24404960853,31040.672112162556,39924.53001833152,0.3090505528257292,0.288135660989915,0.3195079987436364,ARIMA,"{'order': (3, 0, 4)}",18MS,41985.4098402352,36617.75459332082,44426.703495200316,2015-07-01,isr_neto_(mdp)_r
6,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",-26581.68238497114,-24041.539464488265,-27851.753845212574,30914.676735375877,24041.539464488265,34351.24537081969,0.24864666890059858,0.21475553152240812,0.26559223758969386,ARIMA,"{'order': (4, 0, 2)}",18MS,33282.55479658175,27214.927988242423,35934.19719401826,2015-07-01,isr_neto_(mdp)_r
7,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",-30875.95658814439,-27192.63136503226,-32717.61919970046,34325.020368315134,27192.63136503226,37891.21486995658,0.2766259692424089,0.24188598725589872,0.29399596023566404,ARIMA,"{'order': (4, 0, 3)}",18MS,36574.56340676293,31205.67800295178,38982.69953172854,2015-07-01,isr_neto_(mdp)_r
8,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",-33075.66775848736,-29227.858341462615,-34999.57246699975,35568.66269018737,29227.858341462615,38739.06486454974,0.2984755473030987,0.27338389478712327,0.3110213735610864,ARIMA,"{'order': (4, 0, 4)}",18MS,41514.214884236084,35723.23426611675,44125.619802625595,2015-07-01,isr_neto_(mdp)_r
9,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",-4254.251218086731,-3853.039110240136,-4454.857272010028,11823.805528943778,6852.202620078235,14309.606983376552,0.08512675804201549,0.054186465325517665,0.10059690440026443,ARIMA,"{'order': (2, 0, 2)}",18MS,15378.895586385132,7869.490529891943,17994.47703006049,2016-07-01,isr_neto_(mdp)_r
