,endog_vars,exog_vars,forecast_biass_first18,forecast_biass_first6,forecast_biass_last12,mae_first18,mae_first6,mae_last12,mape_first18,mape_first6,mape_last12,model,params,pred_period,rmse_first18,rmse_first6,rmse_last12,split_date,variable
0,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'importaciones_r', 'indic_mens_consumo']","['commodity_price_index', 'cons_price_index_us', 'ind_prod_ind_us', 'tbill_3meses_mensual', 'trade_weighted_exchange_rate', 'year_2009', 'year_2015', 'semana_santa']",-2.2764008952437718,-1.1462853166939269,-2.841458684518694,2.3668822762886026,1.4177294598284196,2.841458684518694,0.021898295547253203,0.013315253927217755,0.02618981635727093,VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'c'}",18MS,2.587247004723935,1.9025564208159558,2.8689562785071248,2015-07-01,igae_sa
1,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'importaciones_r', 'indic_mens_consumo']","['commodity_price_index', 'cons_price_index_us', 'ind_prod_ind_us', 'tbill_3meses_mensual', 'trade_weighted_exchange_rate', 'year_2009', 'year_2015', 'semana_santa']",0.47676181689042785,-0.10544743102891492,0.7678664408500993,0.6119157416512281,0.3000143432534858,0.7678664408500993,0.03290544102416944,0.01801045993978909,0.04035293156635961,VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'c'}",18MS,0.7371751755481841,0.3341247915648037,0.8713903665967581,2015-07-01,tc_mensual
2,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'importaciones_r', 'indic_mens_consumo']","['commodity_price_index', 'cons_price_index_us', 'ind_prod_ind_us', 'tbill_3meses_mensual', 'trade_weighted_exchange_rate', 'year_2009', 'year_2015', 'semana_santa']",-0.4358888457219479,-0.6956519779906692,-0.30600727958758717,0.5942318025221809,0.6956519779906692,0.5435217147879364,0.16028780423877065,0.21511920693006914,0.13287210289312132,VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'c'}",18MS,0.6667673764979262,0.7757757448742901,0.6049414007780101,2015-07-01,tasa_cetes_91_mensual
3,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'importaciones_r', 'indic_mens_consumo']","['commodity_price_index', 'cons_price_index_us', 'ind_prod_ind_us', 'tbill_3meses_mensual', 'trade_weighted_exchange_rate', 'year_2009', 'year_2015', 'semana_santa']",0.4763732607059481,0.5145455508252136,0.45728711564631536,0.4763732607059481,0.5145455508252136,0.45728711564631536,0.005494113916661649,0.006014892302301633,0.005233724723841658,VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'c'}",18MS,0.5362153203524023,0.5872227061742109,0.5087976526554169,2015-07-01,inpc
4,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'importaciones_r', 'indic_mens_consumo']","['commodity_price_index', 'cons_price_index_us', 'ind_prod_ind_us', 'tbill_3meses_mensual', 'trade_weighted_exchange_rate', 'year_2009', 'year_2015', 'semana_santa']",-49943.056929983475,-24155.25396928455,-62836.95841033294,58566.83161850302,50026.5780348432,62836.95841033294,0.08705747681642514,0.07677340758571906,0.09219951143177818,VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'c'}",18MS,65307.47942760103,56367.943360044745,69346.433105526,2015-07-01,importaciones_r
5,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'importaciones_r', 'indic_mens_consumo']","['commodity_price_index', 'cons_price_index_us', 'ind_prod_ind_us', 'tbill_3meses_mensual', 'trade_weighted_exchange_rate', 'year_2009', 'year_2015', 'semana_santa']",3.8217164850150303,3.3283811798430754,4.068384137601008,3.8217164850150303,3.3283811798430754,4.068384137601008,0.03450371014774386,0.030695864876788843,0.036407632783221365,VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'c'}",18MS,4.4319243462023135,3.5130244806403406,4.826205508979289,2015-07-01,indic_mens_consumo
6,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'importaciones_r', 'indic_mens_consumo']","['commodity_price_index', 'cons_price_index_us', 'ind_prod_ind_us', 'tbill_3meses_mensual', 'trade_weighted_exchange_rate', 'year_2009', 'year_2015', 'semana_santa']",-1.6893362119320576,-0.8336456709080503,-2.1171814824440616,1.8278133175421791,1.249076987738415,2.1171814824440616,0.016916490051108377,0.011726101182351905,0.01951168448548661,VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'ct'}",18MS,1.9743880763408161,1.5811239472571523,2.144139908145027,2015-07-01,igae_sa
7,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'importaciones_r', 'indic_mens_consumo']","['commodity_price_index', 'cons_price_index_us', 'ind_prod_ind_us', 'tbill_3meses_mensual', 'trade_weighted_exchange_rate', 'year_2009', 'year_2015', 'semana_santa']",-0.06892940895476575,-0.39200106498915205,0.09260641906242739,0.42209029784979424,0.4746507557041282,0.3958100689226273,0.02335282268336185,0.02837773689658304,0.020840365576751247,VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'ct'}",18MS,0.5471177614662027,0.6192098768195048,0.5072438581119243,2015-07-01,tc_mensual
8,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'importaciones_r', 'indic_mens_consumo']","['commodity_price_index', 'cons_price_index_us', 'ind_prod_ind_us', 'tbill_3meses_mensual', 'trade_weighted_exchange_rate', 'year_2009', 'year_2015', 'semana_santa']",-0.45827606217313555,-0.7139709029647641,-0.3304286417773212,0.6411847446513463,0.7139709029647641,0.6047916654946374,0.17235325592122144,0.22075874919839403,0.1481505092826351,VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'ct'}",18MS,0.720569855541819,0.8041633202984576,0.6749015129754985,2015-07-01,tasa_cetes_91_mensual
9,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'importaciones_r', 'indic_mens_consumo']","['commodity_price_index', 'cons_price_index_us', 'ind_prod_ind_us', 'tbill_3meses_mensual', 'trade_weighted_exchange_rate', 'year_2009', 'year_2015', 'semana_santa']",0.26640121526296984,0.4697780788252454,0.16471278348183205,0.34237727364300874,0.4697780788252454,0.2786768710518904,0.003960399817756534,0.005494441632114891,0.0031933789105773555,VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'ct'}",18MS,0.3905976907426046,0.5228331217681518,0.3035994028506438,2015-07-01,inpc
