,variable,model,params,endog_vars,exog_vars,mape_first6,mape_first18,mape_last12,rmse_first6,rmse_last12,rmse_first18
5,ieps_sin_gas_neto_(mdp)_r,VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'ct'}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']","['igae', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.11241546838359359,0.18564033030076277,0.2206382706655111,2046.3634162593394,3891.990206202095,3421.221576670944
4,ieps_sin_gas_neto_(mdp)_r,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 2), 'seasonal_order': (1, 0, 1, 12)}",['ieps_sin_gas_neto_(mdp)_r'],"['mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.16613505796021882,0.1867104215472195,0.2000163788476561,2409.7732128131106,2887.688075997824,2724.331103320694
0,ieps_sin_gas_neto_(mdp)_r,ARIMA,"{'order': (5, 0, 3)}",['ieps_sin_gas_neto_(mdp)_r'],"['mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.1762487426578052,0.1822173361459332,0.18524521167052502,2470.549377988559,2698.6868643867206,2630.9677337442763
1,ieps_sin_gas_neto_(mdp)_r,DT,"{'criterion': 'mae', 'max_depth': 50, 'max_features': None, 'min_samples_split': 2, 'random_state': 1234}",['ieps_sin_gas_neto_(mdp)_r'],all,0.3399855357963807,0.3520103483673201,0.36006928818773865,4768.576749061676,5701.691237440518,5440.660401268707
3,ieps_sin_gas_neto_(mdp)_r,RF,"{'criterion': 'mae', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1, 'n_jobs': -1, 'random_state': 1234}",['ieps_sin_gas_neto_(mdp)_r'],all,0.34860103721889674,0.3537181606396847,0.3571892376153862,4906.703855079151,5645.013118844462,5402.599605285946
2,ieps_sin_gas_neto_(mdp)_r,GB,"{'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 50, 'random_state': 1234, 'subsample': 0.5}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all,0.3629592849857841,1.9172924824359263,2.7154531970686415,5213.037158142402,88058.41289853098,72377.25847109454
10,importaciones_neto_(mdp)_r,GB,"{'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 50, 'random_state': 1234, 'subsample': 1.0}",['importaciones_neto_(mdp)_r'],all,0.050402659135613426,0.1407831284511348,0.19999488449018762,312.6699523839553,1146.866460865826,919.7765966051027
11,importaciones_neto_(mdp)_r,RF,"{'criterion': 'mse', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000, 'n_jobs': -1, 'random_state': 1234}",['importaciones_neto_(mdp)_r'],all,0.06436194674808274,0.11110630529992709,0.13961027100886803,381.86170420941744,832.5823444466,705.0533754144651
9,importaciones_neto_(mdp)_r,DT,"{'criterion': 'mse', 'max_depth': 10, 'max_features': None, 'min_samples_split': 2, 'random_state': 1234}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all,0.07263486222032363,0.11472275572026716,0.13901912672005012,416.24076083673344,820.3512341603935,701.308581048505
12,importaciones_neto_(mdp)_r,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (3, 0, 3), 'seasonal_order': (1, 0, 1, 12)}",['importaciones_neto_(mdp)_r'],"['mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.07263755568706393,0.10093770428043722,0.11350024905379225,447.4655612427033,713.448430972165,678.9349650506604
13,importaciones_neto_(mdp)_r,VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'c'}","['isr_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']","['igae', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.09301359494266523,0.11014341431508001,0.11808119099042294,572.989912831039,767.1990012112517,747.6809531892593
8,importaciones_neto_(mdp)_r,ARIMA,"{'order': (4, 0, 5)}",['importaciones_neto_(mdp)_r'],"['mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.09747169027382924,0.10286109229136478,0.10511712069418384,599.3601681971088,694.8757883915304,708.4159785780441
18,ing_trib_neto_(mdp)_r,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 3), 'seasonal_order': (1, 0, 1, 12)}",['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.04430468687518716,0.08207066825558974,0.10196977540230166,12165.674636682857,31502.94784034075,26481.734872618297
